rank,name,age_x,country_x,industry,sex,citizenship,marital _status,source_1_x,source_2_x,source_3_x,final_worth,age_y,industry_billionaires,source_1_y,source_2_y,source_3_y
1,Elon Musk,52.0,United States,Automotive,Male,United States,Single,Tesla, SpaceX,,211000,74.0,Fashion & Retail,LVMH,,
2,Bernard Arnault,74.0,France,Fashion & Retail,Male,France,Married,LVMH,,,180000,51.0,Automotive,Tesla, SpaceX,
3,Jeff Bezos,59.0,United States,Technology,Male,United States,Engaged,Amazon,,,114000,59.0,Technology,Amazon,,
4,Larry Ellison,78.0,United States,Technology,Male,United States,In Relationship,Oracle,,,107000,78.0,Technology,Oracle,,
5,Warren Buffett,92.0,United States,Finance & Investments,Male,United States,"Widowed, Remarried",Berkshire Hathaway,,,106000,92.0,Finance & Investments,Berkshire Hathaway,,
6,Bill Gates,67.0,United States,Technology,Male,United States,Divorced,Microsoft,,,104000,67.0,Technology,Microsoft,,
7,Larry Page,50.0,United States,Technology,Male,United States,Married,Google,,,94500,81.0,Media & Entertainment,Bloomberg LP,,
8,Mark Zuckerberg,39.0,United States,Technology,Male,United States,Married,Facebook,,,93000,83.0,Telecom,Telecom,,
9,Sergey Brin,49.0,United States,Technology,Male,United States,Separated,Google,,,83400,65.0,Diversified,Diversified,,
10,Steve Ballmer,67.0,United States,Technology,Male,United States,Married,Microsoft,,,80700,67.0,Technology,Microsoft,,
11,Michael Bloomberg,81.0,United States,Media & Entertainment,Male,United States,In Relationship,Bloomberg LP,,,80500,69.0,Fashion & Retail,L'Oréal,,
12,Carlos Slim Helu,83.0,Mexico,Telecom,Male,Mexico,Widowed,Telecom,,,79200,50.0,Technology,Google,,
13,Mukesh Ambani,66.0,India,Diversified,Male,India,Married,Diversified,,,77300,87.0,Fashion & Retail,Zara,,
14,Francoise Bettencourt Meyers,70.0,France,Fashion & Retail,Female,France,Married,L'Oréal,,,76000,49.0,Technology,Google,,
15,Amancio Ortega,87.0,Spain,Fashion & Retail,Male,Spain,Married,Zara,,,68000,68.0,Food & Beverage,Beverages, pharmaceuticals,
16,Jim Walton,75.0,United States,Fashion & Retail,Male,United States,Married,Walmart,,,64400,38.0,Technology,Facebook,,
17,Rob Walton,78.0,United States,Fashion & Retail,Male,United States,Married,Walmart,,,59000,87.0,Diversified,Koch Industries,,
17,Rob Walton,78.0,United States,Fashion & Retail,Male,United States,Married,Walmart,,,59000,60.0,Diversified,Koch Industries,,
19,Alice Walton,73.0,United States,Fashion & Retail,Female,United States,Divorced,Walmart,,,58800,74.0,Fashion & Retail,Walmart,,
20,Zhong Shanshan,68.0,China,Food & Beverage,Male,China,no data,Beverages, pharmaceuticals,,57600,78.0,Fashion & Retail,Walmart,,
21,Julia Koch,61.0,United States,Diversified,Female,United States,Widowed,Koch Industries ,,,56700,73.0,Fashion & Retail,Walmart,,
21,Charles Koch,87.0,United States,Diversified,Male,United States,Married,Koch Industries,,,56700,73.0,Fashion & Retail,Walmart,,
23,David Thomson,66.0,Canada,Media & Entertainment,Male,Canada,Divorced,Media,,,50100,58.0,Technology,Dell Technologies,,
24,Gautam Adani,61.0,India,Diversified,Male,India,Married,Infrastructure, commodities,,47200,60.0,Diversified,Infrastructure, commodities,
25,Dieter Schwarz,83.0,Germany,Fashion & Retail,Male,Germany,Married,Retail,,,45100,85.0,Fashion & Retail,Nike,,
26,Zhang Yiming,39.0,China,Technology,Male,China,no data,TikTok,,,45000,39.0,Technology,TikTok,,
27,Phil Knight,85.0,United States,Fashion & Retail,Male,United States,Married,Nike,,,42900,83.0,Fashion & Retail,Retail,,
28,Mark Mateschitz,31.0,Austria,Food & Beverage,Male,Austria,Single,Red Bull,,,40100,86.0,Fashion & Retail,Luxury goods,,
29,Jensen Huang,60.0,United States,Technology,Male,United States,Married,Semiconductors,,,39100,85.0,Logistics,Shipping,,
30,Giovanni Ferrero,58.0,Italy,Food & Beverage,Male,Italy,Married,Nutella, chocolates,,38900,58.0,Food & Beverage,Nutella, chocolates,
31,John Mars,87.0,United States,Food & Beverage,Male,United States,Married,Candy, pet food,,38300,83.0,Food & Beverage,Candy, pet food,
31,John Mars,87.0,United States,Food & Beverage,Male,United States,Married,Candy, pet food,,38300,87.0,Food & Beverage,Candy, pet food,
31,Jacqueline Mars,83.0,United States,Food & Beverage,Female,United States,Divorced,Candy, pet food,,38300,83.0,Food & Beverage,Candy, pet food,
31,Jacqueline Mars,83.0,United States,Food & Beverage,Female,United States,Divorced,Candy, pet food,,38300,87.0,Food & Beverage,Candy, pet food,
33,FranÃ§ois Pinault,86.0,France,Fashion & Retail,Male,France,Married,Luxury goods,,,38000,94.0,Diversified,Diversified,,
34,Li Ka-shing,95.0,Hong Kong,Diversified,Male,Hong Kong,Widowed,Diversified,,,35300,51.0,Technology,Internet media,,
35,MacKenzie Scott,53.0,United States,Technology,Female,United States,Divorced,Amazon,,,35000,77.0,Gambling & Casinos,Casinos,,
35,MacKenzie Scott,53.0,United States,Technology,Female,United States,Divorced,Amazon,,,35000,54.0,Finance & Investments,Hedge funds,,
37,Klaus-Michael Kuehne,86.0,Germany,Logistics,Male,Germany,Married,Shipping,,,34700,30.0,Food & Beverage,Red Bull,,
38,Ma Huateng,51.0,China,Technology,Male,China,Married,Internet media,,,33400,54.0,Automotive,Batteries,,
39,Miriam Adelson,77.0,United States,Gambling & Casinos,Female,United States,Widowed,Casinos,,,32600,74.0,Fashion & Retail,Fashion retail,,
40,Ken Griffin,54.0,United States,Finance & Investments,Male,United States,Divorced,Hedge funds,,,32100,65.0,Diversified,Music, chemicals,
41,Len Blavatnik,66.0,United States,Diversified,Male,United States,Married,Music, chemicals,,31600,74.0,Fashion & Retail,Chanel,,
41,Len Blavatnik,66.0,United States,Diversified,Male,United States,Married,Music, chemicals,,31600,72.0,Fashion & Retail,Chanel,,
43,William Lei Ding,51.0,China,Technology,Male,China,no data,Online games,,,31200,82.0,Logistics,Shipping,,
43,William Lei Ding,51.0,China,Technology,Male,China,no data,Online games,,,31200,78.0,Logistics,Shipping,,
46,Cyrus Poonawalla,82.0,India,Healthcare,Male,India,Widowed,Vaccines,,,29700,87.0,Manufacturing,Fasteners,,
47,Stephen Schwarzman,76.0,United States,Finance & Investments,Male,United States,Married,Investments,,,29500,95.0,Real Estate,Real estate,,
48,Rafaela Aponte-Diamant,78.0,Switzerland,Logistics,Female,Switzerland,Married,Shipping,,,28500,64.0,Finance & Investments,Trading, investments,
48,Gianluigi Aponte,83.0,Switzerland,Logistics,Male,Switzerland,Married,Shipping,,,28500,64.0,Finance & Investments,Trading, investments,
50,Reinhold Wuerth,88.0,Germany,Manufacturing,Male,Germany,Married,Fasteners,,,27800,76.0,Finance & Investments,Investments,,
51,Jeff Yass,65.0,United States,Finance & Investments,Male,United States,Married,Trading, investments,,27400,60.0,Automotive,BMW, pharmaceuticals,
52,Thomas Peterffy,78.0,United States,Finance & Investments,Male,United States,Divorced,Discount brokerage,,,27000,69.0,Metals & Mining,Mining,,
53,Jim Simons,85.0,United States,Finance & Investments,Male,United States,Married,Hedge funds,,,26700,51.0,Technology,Online games,,
54,GermÃ¡n Larrea Mota Velasco,69.0,Mexico,Metals & Mining,Male,Mexico,Married,Mining,,,26600,69.0,Metals & Mining,Mining,,
55,Colin Zheng Huang,43.0,China,Technology,Male,China,no data,E-commerce,,,25600,77.0,Technology,software services,,
56,Lee Shau Kee,95.0,Hong Kong,Real Estate,Male,Hong Kong,Divorced,Real estate,,,25500,74.0,Energy,Coal,,
57,Gina Rinehart,69.0,Australia,Metals & Mining,Female,Australia,Widowed,Mining,,,25300,78.0,Finance & Investments,Discount brokerage,,
58,Shiv Nadar,78.0,India,Technology,Male,India,Married,Software services,,,25200,51.0,Metals & Mining,Fertilizers, coal,
59,R. Budi Hartono,82.0,Indonesia,Finance & Investments,Male,Indonesia,Married,Banking, tobacco,,24600,56.0,Automotive,BMW,,
60,Stefan Quandt,57.0,Germany,Automotive,Male,Germany,Married,BMW,,,24400,52.0,Technology,Amazon,,
61,Michael Hartono,83.0,Indonesia,Manufacturing,Male,Indonesia,Married,Banking, tobacco ,,24200,82.0,Finance & Investments,Banking, tobacco,
62,Masayoshi Son,66.0,Japan,Finance & Investments,Male,Japan,Married,telecom, investments,,23700,62.0,Metals & Mining,Metals,,
63,Low Tuck Kwong,75.0,Indonesia,Energy,Male,Indonesia,Married,Coal,,,23500,58.0,Technology,E-commerce,,
64,Andrey Melnichenko,51.0,Russia,Metals & Mining,Male,Russia,Married,Fertilizers, coal,,23400,80.0,Manufacturing,Home appliances,,
65,Jack Ma,58.0,China,Technology,Male,China,Married,E-commerce,,,23100,80.0,Metals & Mining,Mining,,
65,Jack Ma,58.0,China,Technology,Male,China,Married,E-commerce,,,23100,83.0,Manufacturing,Banking, tobacco,
67,Vladimir Potanin,62.0,Russia,Metals & Mining,Male,Russia,Married,Metals,,,22900,70.0,Manufacturing,Chemicals,,
68,Emmanuel Besnier,52.0,France,Food & Beverage,Male,France,no data,Cheese,,,22600,81.0,Healthcare,Vaccines,,
69,Lukas Walton,36.0,United States,Fashion & Retail,Male,United States,Married,Walmart ,,,22400,65.0,Telecom,Internet, telecom,
70,He Xiangjian,81.0,China,Manufacturing,Male,China,Married,Home appliances,,,22100,66.0,Metals & Mining,Steel, transport,
71,Iris Fontbona,80.0,Chile,Metals & Mining,Female,Chile,Widowed,Mining,,,22000,52.0,Food & Beverage,Cheese,,
72,Daniel Gilbert,61.0,United States,Finance & Investments,Male,United States,Married,Quicken Loans,,,21600,61.0,Finance & Investments,Fidelity,,
72,Daniel Gilbert,61.0,United States,Finance & Investments,Male,United States,Married,Quicken Loans,,,21600,67.0,Energy,Gas, chemicals,
74,Vladimir Lisin,67.0,Russia,Metals & Mining,Male,Russia,Married,Steel, transport,,21200,36.0,Fashion & Retail,Walmart,,
74,Vladimir Lisin,67.0,Russia,Metals & Mining,Male,Russia,Married,Steel, transport,,21200,52.0,Service,Package delivery,,
76,Thomas Frist Jr,85.0,United States,Healthcare,Male,United States,Married,Hospitals,,,21100,60.0,Technology,Semiconductors,,
77,Leonid Mikhelson,68.0,Russia,Energy,Male,Russia,Married,Gas, chemicals,,21000,90.0,Fashion & Retail,Estee Lauder,,
77,Leonid Mikhelson,68.0,Russia,Energy,Male,Russia,Married,Gas, chemicals,,21000,77.0,Manufacturing,Sensors,,
79,Savitri Jindal,73.0,India,Metals & Mining,Female,India,Widowed,Steel,,,20900,57.0,Metals & Mining,Steel, investments,
80,Alexey Mordashov,57.0,Russia,Metals & Mining,Male,Russia,Married,Steel, investments,,20500,72.0,Energy,Oil,,
81,Vagit Alekperov,72.0,Russia,Energy,Male,Russia,Married,Oil,,,20200,84.0,Healthcare,Hospitals,,
82,John Menard Jr,83.0,United States,Fashion & Retail,Male,United States,Married,Home improvement stores,,,19600,61.0,Metals & Mining,Mining,,
83,Eyal Ofer,73.0,Israel,Diversified,Male,Israel,Married,Real estate, shipping,,19100,73.0,Finance & Investments,Hedge funds,,
84,Takemitsu Takizaki,78.0,Japan,Manufacturing,Male,Japan,Married,Sensors,,,19000,59.0,Automotive,Automobiles,,
84,Takemitsu Takizaki,78.0,Japan,Manufacturing,Male,Japan,Married,Sensors,,,19000,55.0,Metals & Mining,Mining, copper products,
86,Rick Cohen,71.0,United States,Technology,Male,United States,Married,Warehouse automation,,,18900,72.0,Diversified,Real estate, shipping,
86,Rick Cohen,71.0,United States,Technology,Male,United States,Married,Warehouse automation,,,18900,57.0,Food & Beverage,Pig breeding,,
88,Wang Wei,52.0,China,Service,Male,China,no data,Package delivery,,,18700,57.0,Automotive,Batteries, automobiles,
89,Harold Hamm,77.0,United States,Energy,Male,United States,Divorced,Oil & gas,,,18500,77.0,Energy,Oil & gas,,
89,Harold Hamm,77.0,United States,Energy,Male,United States,Divorced,Oil & gas,,,18500,65.0,Finance & Investments,Hedge funds,,
89,Harold Hamm,77.0,United States,Energy,Male,United States,Divorced,Oil & gas,,,18500,70.0,Energy,Oil, gas,
92,David Tepper,65.0,United States,Finance & Investments,Male,United States,Married,Hedge funds,,,18000,61.0,Finance & Investments,Quicken Loans,,
93,Wang Chuanfu,57.0,China,Automotive,Male,China,Married,Batteries, automobiles,,17700,72.0,Metals & Mining,Steel,,
94,Theo Albrecht Jr,72.0,Germany,Fashion & Retail,Male,Germany,no data,Aldi, Trader Joe's,,17500,66.0,Finance & Investments,Hedge funds,,
94,Theo Albrecht Jr,72.0,Germany,Fashion & Retail,Male,Germany,no data,Aldi, Trader Joe's,,17500,87.0,Finance & Investments,Investments,,
94,Theo Albrecht Jr,72.0,Germany,Fashion & Retail,Male,Germany,no data,Aldi, Trader Joe's,,17500,73.0,Metals & Mining,Steel,,
97,Vicky Safra,70.0,Brazil,Finance & Investments,Female,Brazil,Widowed,Banking,,,17400,90.0,Real Estate,Real estate,,
97,Vicky Safra,70.0,Brazil,Finance & Investments,Female,Brazil,Widowed,Banking,,,17400,83.0,Fashion & Retail,Home improvement stores,,
99,Donald Bren,91.0,United States,Real Estate,Male,United States,Married,Real estate,,,17100,92.0,Media & Entertainment,Newspapers, TV network,
100,Rupert Murdoch,92.0,United States,Media & Entertainment,Male,United States,Married,Newspapers, TV network,,16700,70.0,Finance & Investments,Banking,,
101,Beate Heister,71.0,Germany,Fashion & Retail,Female,Germany,no data,Supermarkets,,,16500,72.0,Fashion & Retail,Aldi, Trader Joe's,
101,Beate Heister,71.0,Germany,Fashion & Retail,Female,Germany,no data,Supermarkets,,,16500,55.0,Finance & Investments,Finance, telecommunications,
101,Karl Albrecht Jr,75.0,Germany,Fashion & Retail,Male,Germany,no data,Supermarkets,,,16500,72.0,Fashion & Retail,Aldi, Trader Joe's,
101,Karl Albrecht Jr,75.0,Germany,Fashion & Retail,Male,Germany,no data,Supermarkets,,,16500,55.0,Finance & Investments,Finance, telecommunications,
103,Eduardo Saverin,41.0,Brazil,Technology,Male,Brazil,Married,Facebook,,,16300,72.0,Healthcare,medical devices,,
104,Renata Kellnerova,56.0,Czech Republic,Finance & Investments,Female,Czech Republic,Widowed,Finance, telecommunications,,16200,75.0,Fashion & Retail,H&M,,
104,Renata Kellnerova,56.0,Czech Republic,Finance & Investments,Female,Czech Republic,Widowed,Finance, telecommunications,,16200,67.0,Technology,Google,,
106,Lakshmi Mittal,73.0,India,Metals & Mining,Male,India,Married,Steel,,,16000,55.0,Finance & Investments,Hedge funds,,
107,Michael Platt,55.0,United Kingdom,Finance & Investments,Male,United Kingdom,no data,Hedge funds,,,15900,67.0,Food & Beverage,Soy sauce,,
108,Diane Hendricks,76.0,United States,Construction & Engineering,Female,United States,Widowed,Building supplies,,,15800,65.0,Fashion & Retail,Supermarkets,,
108,Diane Hendricks,76.0,United States,Construction & Engineering,Female,United States,Widowed,Building supplies,,,15800,65.0,Fashion & Retail,Supermarkets,,
108,Diane Hendricks,76.0,United States,Construction & Engineering,Female,United States,Widowed,Building supplies,,,15800,83.0,Food & Beverage,Beer,,
108,Diane Hendricks,76.0,United States,Construction & Engineering,Female,United States,Widowed,Building supplies,,,15800,76.0,Real Estate,Real estate,,
112,Harry Triguboff,90.0,Australia,Real Estate,Male,Australia,Married,Real estate,,,15600,67.0,Healthcare,Pharmaceuticals,,
113,Kumar Birla,56.0,India,Diversified,Male,India,Married,Commodities,,,15500,45.0,Technology,Wireless networking,,
114,Wang Wenyin,55.0,China,Metals & Mining,Male,China,no data,Mining, copper products,,15300,68.0,Fashion & Retail,Retail, investments,
115,Huang Shilin,56.0,China,Automotive,Male,China,no data,Batteries,,,15200,56.0,Automotive,Batteries,,
116,Jorge Paulo Lemann,83.0,Brazil,Food & Beverage,Male,Brazil,Married,Beer,,,14900,83.0,Diversified,Diversified,,
116,Jorge Paulo Lemann,83.0,Brazil,Food & Beverage,Male,Brazil,Married,Beer,,,14900,81.0,Fashion & Retail,Retail,,
118,Alisher Usmanov,69.0,Russia,Metals & Mining,Male,Russia,Divorced,Steel, telecom, investments,14800,78.0,Food & Beverage,Alcohol, real estate,
119,Jan Koum,47.0,United States,Technology,Male,United States,Single,WhatsApp,,,14700,68.0,Food & Beverage,Heineken,,
120,Dhanin Chearavanont,84.0,Thailand,Diversified,Male,Thailand,Widowed,Diversified,,,14600,60.0,Healthcare,Medical devices,,
121,Charlene de Carvalho-Heineken,69.0,Netherlands,Food & Beverage,Female,Netherlands,Married,Heineken,,,14500,59.0,Automotive,Automobiles,,
122,Ricardo Salinas Pliego,67.0,Mexico,Fashion & Retail,Male,Mexico,Married,Retail, media,,14400,69.0,Metals & Mining,Steel, telecom, investments
123,Li Xiting,72.0,Singapore,Healthcare,Male,Singapore,no data,medical devices,,,14300,95.0,Manufacturing,Paints,,
124,George Kaiser,81.0,United States,Energy,Male,United States,Married,Oil & gas, banking,,14200,55.0,Diversified,Commodities,,
124,George Kaiser,81.0,United States,Energy,Male,United States,Married,Oil & gas, banking,,14200,65.0,Manufacturing,Cement, sugar,
126,Idan Ofer,67.0,Israel,Diversified,Male,Israel,Married,Shipping,,,14100,93.0,Real Estate,Real estate,,
127,John Fredriksen,78.0,Cyprus,Logistics,Male,Cyprus,Widowed,Shipping,,,14000,67.0,Diversified,Shipping,,
128,Jerry Jones,80.0,United States,Sports,Male,United States,Married,Dallas Cowboys,,,13900,57.0,Healthcare,Hospitals,,
128,Jerry Jones,80.0,United States,Sports,Male,United States,Married,Dallas Cowboys,,,13900,94.0,Gambling & Casinos,Casinos/hotels,,
130,Uday Kotak,64.0,India,Finance & Investments,Male,India,Married,Banking,,,13700,78.0,Logistics,Shipping,,
130,Uday Kotak,64.0,India,Finance & Investments,Male,India,Married,Banking,,,13700,76.0,Construction & Engineering,Building supplies,,
130,Uday Kotak,64.0,India,Finance & Investments,Male,India,Married,Banking,,,13700,47.0,Technology,WhatsApp,,
133,Vinod Adani,74.0,Cyprus,Diversified,Male,Cyprus,Married,Infrastructure, commodities,,13300,80.0,Sports,Dallas Cowboys,,
133,Vinod Adani,74.0,Cyprus,Diversified,Male,Cyprus,Married,Infrastructure, commodities,,13300,80.0,Energy,Oil & gas, banking,
133,Vinod Adani,74.0,Cyprus,Diversified,Male,Cyprus,Married,Infrastructure, commodities,,13300,71.0,Real Estate,Real estate,,
136,Goh Cheng Liang,96.0,Singapore,Manufacturing,Male,Singapore,Widowed,Paints,,,13200,60.0,Automotive,Automobiles, batteries,
137,Mikhail Fridman,59.0,Russia,Energy,Male,Russia,Divorced,Oil, banking, telecom,13100,90.0,Real Estate,Real estate,,
138,David Duffield,82.0,United States,Technology,Male,United States,Married,Business software,,,12900,64.0,Finance & Investments,Banking,,
138,David Duffield,82.0,United States,Technology,Male,United States,Married,Business software,,,12900,75.0,Sports,Sports, real estate,
140,Lu Xiangyang,60.0,China,Automotive,Male,China,Married,Automobiles, batteries,,12600,58.0,Energy,Oil, banking, telecom
141,Wei Jianjun,59.0,China,Automotive,Male,China,Married,Automobiles,,,12300,57.0,Energy,Energy,,
142,Charoen Sirivadhanabhakdi,79.0,Thailand,Food & Beverage,Male,Thailand,Widowed,Alcohol, real estate,,12200,50.0,Metals & Mining,Coal,,
142,Charoen Sirivadhanabhakdi,79.0,Thailand,Food & Beverage,Male,Thailand,Widowed,Alcohol, real estate,,12200,69.0,Healthcare,Vaccines,,
144,Xu Hang,57.0,Hong Kong,Healthcare,Male,Hong Kong,no data,Medical devices,,,12100,72.0,Automotive,Auto parts,,
145,John Doerr,72.0,United States,Technology,Male,United States,Married,Venture capital,,,12000,59.0,Technology,Apple, Disney,
146,Giorgio Armani,89.0,Italy,Fashion & Retail,Male,Italy,Single,Luxury goods,,,11800,99.0,Diversified,Palm oil, shipping, property
147,Shahid Khan,73.0,United States,Automotive,Male,United States,Married,Auto parts,,,11600,82.0,Real Estate,Real estate,,
148,Donald Newhouse,94.0,United States,Media & Entertainment,Male,United States,Widowed,Media,,,11500,38.0,Technology,Messaging app,,
148,Donald Newhouse,94.0,United States,Media & Entertainment,Male,United States,Widowed,Media,,,11500,73.0,Healthcare,Pharmaceuticals,,
148,Donald Newhouse,94.0,United States,Media & Entertainment,Male,United States,Widowed,Media,,,11500,73.0,Healthcare,Pharmaceuticals,,
151,Michael Rubin,51.0,United States,Fashion & Retail,Male,United States,Divorced,Online retail,,,11400,59.0,Food & Beverage,Agribusiness,,
151,Michael Rubin,51.0,United States,Fashion & Retail,Male,United States,Divorced,Online retail,,,11400,50.0,Fashion & Retail,Online retail,,
153,Jeffery Hildebrand,64.0,United States,Energy,Male,United States,Married,Oil,,,11300,74.0,Finance & Investments,Hedge funds,,
153,Jeffery Hildebrand,64.0,United States,Energy,Male,United States,Married,Oil,,,11300,69.0,Manufacturing,Fertilizer, real estate,
153,Jeffery Hildebrand,64.0,United States,Energy,Male,United States,Married,Oil,,,11300,62.0,Manufacturing,Manufacturing,,
153,Jeffery Hildebrand,64.0,United States,Energy,Male,United States,Married,Oil,,,11300,57.0,Finance & Investments,Investments,,
157,David Cheriton,72.0,Canada,Technology,Male,Canada,Divorced,Google,,,11100,88.0,Fashion & Retail,Luxury goods,,
157,David Cheriton,72.0,Canada,Technology,Male,Canada,Divorced,Google,,,11100,72.0,Fashion & Retail,Luxury goods,,
159,Zhang Zhidong,51.0,China,Technology,Male,China,no data,Internet media,,,11000,58.0,Finance & Investments,Video surveillance,,
159,Zhang Zhidong,51.0,China,Technology,Male,China,no data,Internet media,,,11000,51.0,Technology,Internet media,,
161,Trudy Cathy White,67.0,United States,Food & Beverage,Female,United States,Married,Chick-fil-A,,,10900,83.0,Finance & Investments,Energy, sports, entertainment
161,Trudy Cathy White,67.0,United States,Food & Beverage,Female,United States,Married,Chick-fil-A,,,10900,85.0,Fashion & Retail,Gas stations,,
161,Trudy Cathy White,67.0,United States,Food & Beverage,Female,United States,Married,Chick-fil-A,,,10900,67.0,Fashion & Retail,Retail, media,
161,Dan Cathy,70.0,United States,Food & Beverage,Male,United States,Married,Chick-fil-A,,,10900,83.0,Finance & Investments,Energy, sports, entertainment
161,Dan Cathy,70.0,United States,Food & Beverage,Male,United States,Married,Chick-fil-A,,,10900,85.0,Fashion & Retail,Gas stations,,
161,Dan Cathy,70.0,United States,Food & Beverage,Male,United States,Married,Chick-fil-A,,,10900,67.0,Fashion & Retail,Retail, media,
161,Bubba Cathy,69.0,United States,Food & Beverage,Male,United States,Married,Chick-fil-A,,,10900,83.0,Finance & Investments,Energy, sports, entertainment
161,Bubba Cathy,69.0,United States,Food & Beverage,Male,United States,Married,Chick-fil-A,,,10900,85.0,Fashion & Retail,Gas stations,,
161,Bubba Cathy,69.0,United States,Food & Beverage,Male,United States,Married,Chick-fil-A,,,10900,67.0,Fashion & Retail,Retail, media,
164,Ravi Jaipuria,68.0,India,Food & Beverage,Male,India,Married,Soft drinks, fast food,,10700,93.0,Media & Entertainment,Media,,
165,Kushal Pal Singh,92.0,India,Real Estate,Male,India,Widowed,Real estate,,,10600,81.0,Sports,Manufacturing, New England Patriots,
165,Kushal Pal Singh,92.0,India,Real Estate,Male,India,Widowed,Real estate,,,10600,73.0,Food & Beverage,Beer,,
167,Robert Kuok,99.0,Malaysia,Diversified,Male,Malaysia,Married,Palm oil, shipping, property,10500,57.0,Finance & Investments,Gold,,
167,Robert Kuok,99.0,Malaysia,Diversified,Male,Malaysia,Married,Palm oil, shipping, property,10500,39.0,Fashion & Retail,E-commerce,,
167,Robert Kuok,99.0,Malaysia,Diversified,Male,Malaysia,Married,Palm oil, shipping, property,10500,45.0,Finance & Investments,Cryptocurrency exchange,,
170,Robert Kraft,82.0,United States,Sports,Male,United States,"Widowed, Remarried",Manufacturing, New England Patriots,,10300,70.0,Finance & Investments,Banks, real estate,
171,Dang Yanbao,50.0,China,Metals & Mining,Male,China,no data,Coal,,,10200,43.0,Technology,Software,,
171,Dang Yanbao,50.0,China,Metals & Mining,Male,China,no data,Coal,,,10200,60.0,Healthcare,Medical devices,,
171,Dang Yanbao,50.0,China,Metals & Mining,Male,China,no data,Coal,,,10200,82.0,Technology,Business software,,
171,Dang Yanbao,50.0,China,Metals & Mining,Male,China,no data,Coal,,,10200,64.0,Energy,Oil,,
171,Dang Yanbao,50.0,China,Metals & Mining,Male,China,no data,Coal,,,10200,74.0,Manufacturing,Steel,,
171,Dang Yanbao,50.0,China,Metals & Mining,Male,China,no data,Coal,,,10200,41.0,Technology,Facebook,,
171,Dang Yanbao,50.0,China,Metals & Mining,Male,China,no data,Coal,,,10200,58.0,Automotive,Auto parts,,
171,Dang Yanbao,50.0,China,Metals & Mining,Male,China,no data,Coal,,,10200,74.0,Fashion & Retail,Walmart,,
179,Anthony von Mandl,73.0,Canada,Food & Beverage,Male,Canada,no data,Alcoholic beverages,,,10100,43.0,Technology,Software,,
179,Anthony von Mandl,73.0,Canada,Food & Beverage,Male,Canada,no data,Alcoholic beverages,,,10100,81.0,Diversified,Banking, property,
179,Anthony von Mandl,73.0,Canada,Food & Beverage,Male,Canada,no data,Alcoholic beverages,,,10100,59.0,Real Estate,Real estate,,
183,Brian Chesky,41.0,United States,Technology,Male,United States,Single,Airbnb,,,9900,74.0,Service,Diversified,,
184,John Tu,82.0,United States,Technology,Male,United States,Married,Computer hardware,,,9800,74.0,Diversified,Infrastructure, commodities,
184,John Tu,82.0,United States,Technology,Male,United States,Married,Computer hardware,,,9800,80.0,Fashion & Retail,Hermes,,
184,John Tu,82.0,United States,Technology,Male,United States,Married,Computer hardware,,,9800,51.0,Logistics,Shipping,,
184,John Tu,82.0,United States,Technology,Male,United States,Married,Computer hardware,,,9800,53.0,Logistics,Shipping,,
184,John Tu,82.0,United States,Technology,Male,United States,Married,Computer hardware,,,9800,55.0,Logistics,Shipping,,
184,John Tu,82.0,United States,Technology,Male,United States,Married,Computer hardware,,,9800,75.0,Finance & Investments,Investments,,
190,Leon Black,72.0,United States,Finance & Investments,Male,United States,Married,Private equity,,,9700,63.0,Manufacturing,Fertilizers,,
190,Leon Black,72.0,United States,Finance & Investments,Male,United States,Married,Private equity,,,9700,59.0,Finance & Investments,Private equity,,
190,Leon Black,72.0,United States,Finance & Investments,Male,United States,Married,Private equity,,,9700,53.0,Technology,Smartphones,,
190,Leon Black,72.0,United States,Finance & Investments,Male,United States,Married,Private equity,,,9700,76.0,Manufacturing,Manufacturing,,
190,Leon Black,72.0,United States,Finance & Investments,Male,United States,Married,Private equity,,,9700,64.0,Healthcare,Pharmaceuticals,,
195,Autry Stephens,85.0,United States,Energy,Male,United States,Married,Oil,,,9600,70.0,Technology,Warehouse automation,,
195,Autry Stephens,85.0,United States,Energy,Male,United States,Married,Oil,,,9600,70.0,Energy,Solar panels,,
195,Autry Stephens,85.0,United States,Energy,Male,United States,Married,Oil,,,9600,67.0,Manufacturing,Chemicals,,
195,Autry Stephens,85.0,United States,Energy,Male,United States,Married,Oil,,,9600,58.0,Food & Beverage,Candy, pet food,
195,Autry Stephens,85.0,United States,Energy,Male,United States,Married,Oil,,,9600,62.0,Food & Beverage,Candy, pet food,
195,Autry Stephens,85.0,United States,Energy,Male,United States,Married,Oil,,,9600,64.0,Food & Beverage,Candy, pet food,
195,Autry Stephens,85.0,United States,Energy,Male,United States,Married,Oil,,,9600,66.0,Food & Beverage,Candy, pet food,
204,Carrie Perrodo,72.0,France,Energy,Female,France,Widowed,Oil ,,,9400,57.0,Healthcare,Biotech, investments,
204,Carrie Perrodo,72.0,France,Energy,Female,France,Widowed,Oil ,,,9400,44.0,Technology,Food delivery,,
206,James Dyson,76.0,United Kingdom,Manufacturing,Male,United Kingdom,Married,Vacuums,,,9300,41.0,Technology,Airbnb,,
206,James Dyson,76.0,United Kingdom,Manufacturing,Male,United Kingdom,Married,Vacuums,,,9300,75.0,Manufacturing,Vacuums,,
