rank,name,net__worth,age,source,country,industry,sex,citizenship,marital _status,education,college/_university,empire,source_1,source_2,source_3
535,Denise York,5.1,72.0,San Francisco 49ers,United States,Sports,Female,United States,Married,no data,no data,no data,San Francisco 49ers,,
536,Yi Zheng,5.1,52.0,Software,China,Technology,Male,China,no data,Bachelor of Arts/Science,Zhejiang University,Self Made,Software,,
537,Romesh T. Wadhwani,5.1,75.0,Software,United States,Technology,Male,United States,Married,Doctorate,Carnegie Mellon University,Self Made,Software,,
538,Tony Tamer,5.1,65.0,Private equity,United States,Finance & Investments,Male,United States,Married,Master of Business Administration,Harvard Business School,Self Made,Private equity,,
538,Sami Mnaymneh,5.1,62.0,Private equity,United States,Finance & Investments,Male,United States,no data,Bachelor of Arts/Economics,Columbia University,Self Made,Private equity,,
540,Mark Cuban,5.1,65.0,"Online media, Dallas Mavericks",United States,Media & Entertainment,Male,United States,Married,Bachelor of Arts/Science,Indiana University,Self Made,Online media, Dallas Mavericks,
541,Tobi Lutke,5.1,43.0,E-commerce,Canada,Technology,Male,Canada,Married,no data,no data,Self Made,E-commerce,,
542,Charles B. Johnson,5.1,90.0,Franklin Templeton,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Yale University,no data,Franklin Templeton,,
543,Dona Bertarelli,5.1,55.0,Biotech and investments,Switzerland,Healthcare,Female,Switzerland,no data,no data,no data,no data,Biotech and investments,,
544,Robert Bass,5.1,75.0,"Oil, investments",United States,Energy,Male,United States,Married,Master of Business Administration,Stanford University,no data,Oil, investments,
545,Murat Ulker,5.1,64.0,Food,Turkey,Food & Beverage,Male,Turkey,Married,Bachelor of Arts/Science,Bogazici University,no data,Food,,
546,Cai Kui,5.1,60.0,Real estate,China,Real Estate,Male,China,Divorced,Bachelor of Arts/Science,Nanjing University of Aeronautics & Astronautics,Self Made,Real estate,,
547,Michael Pieper,5.0,77.0,Kitchen appliances ,Switzerland,Manufacturing,Male,Switzerland,Married,Master of Business Administration,St Gallen University,Self Made,Kitchen appliances ,,
548,Viktor Kharitonin,5.0,50.0,Pharmaceuticals,Russia,Healthcare,Male,Russia,Married,Bachelor of Arts/Science,Novosibirsk State University,Self Made,Pharmaceuticals,,
549,Kwon Hyuk-bin,5.0,49.0,Online games,South Korea,Media & Entertainment,Male,South Korea,Separated,Bachelor of Arts/Science,Sogang University,Self Made,Online games,,
550,Pierre Chen,5.0,66.0,Electronics,Taiwan,Technology,Male,Taiwan,Divorced,Bachelor of Arts/Science,National Cheng Kung University,Self Made,Electronics,,
551,Rafael Del Pino,5.0,65.0,Construction,Spain,Construction & Engineering,Male,Spain,Divorced,Master of Business Administration,MIT Sloan School of Management,no data,Construction,,
552,Ron Baron,5.0,80.0,Money management,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Bucknell University,Self Made,Money management,,
553,Ananda Krishnan,5.0,85.0,"Telecoms, media, oil-services",Malaysia,Telecom,Male,Malaysia,Married,Master of Business Administration,Harvard University,Self Made,Telecoms, media, oil-services
554,Mark Stevens,5.0,63.0,Venture capital,United States,Finance & Investments,Male,United States,Married,Master of Business Administration,Harvard University,Self Made,Venture capital,,
555,Janice McNair,5.0,86.0,"Energy, sports",United States,Sports,Female,United States,Widowed,Bachelor of Arts/Science,Columbia College,no data,Energy, sports,
556,Juan Domingo Beckmann Legorreta,5.0,56.0,Tequila,Mexico,Food & Beverage,Male,Mexico,no data,no data,no data,no data,Tequila,,
557,Maria Fernanda Amorim,5.0,88.0,"Energy, investments",Portugal,Diversified,Female,Portugal,Widowed,no data,no data,no data,Energy, investments,
558,Robert Hale Jr,5.0,57.0,Telecom,United States,Telecom,Male,United States,Married,Bachelor of Arts/Science,Connecticut College,Self Made,Telecom,,
559,Dagmar Dolby,4.9,82.0,Dolby Laboratories,United States,Technology,Female,United States,Widowed,Bachelor of Arts/Science,Heidelberg University,no data,Dolby Laboratories,,
560,Bidzina Ivanishvili,4.9,67.0,Investments,Georgia,Finance & Investments,Male,Georgia,Married,no data,no data,Self Made,Investments,,
561,Jian Jun,4.9,59.0,Biomedical products,China,Healthcare,Female,China,no data,Master of Business Administration,Tsinghua University,Self Made,Biomedical products,,
562,S. Curtis Johnson,4.9,68.0,Cleaning products,United States,Manufacturing,Male,United States,Married,Bachelor of Arts/Science,Cornell University,no data,Cleaning products,,
562,Winifred J. Marquart,4.9,64.0,Cleaning products,United States,Manufacturing,Female,United States,Married,Drop Out,Cornell University,no data,Cleaning products,,
562,Helen Johnson-Leipold,4.9,66.0,Cleaning products,United States,Manufacturing,Female,United States,Married,Bachelor of Arts/Science,Cornell University,no data,Cleaning products,,
565,Odd Reitan,4.9,71.0,"Retail, real estate",Norway,Fashion & Retail,Male,Norway,Married,no data,no data,no data,Retail, real estate,
566,H. Fisk Johnson,4.9,65.0,Cleaning products,United States,Manufacturing,Male,United States,Divorced,Bachelor of Arts/Science,Cornell University,no data,Cleaning products,,
567,Thomas Secunda,4.9,69.0,Bloomberg LP,United States,Media & Entertainment,Male,United States,Married,Bachelor of Arts/Science,SUNY Binghamton,Self Made,Bloomberg LP,,
568,Jim Davis,4.9,80.0,New Balance,United States,Manufacturing,Male,United States,Married,Bachelor of Arts/Science,Middlebury College,Self Made,New Balance,,
568,Jim Davis,4.9,80.0,New Balance,United States,Manufacturing,Male,United States,Married,Bachelor of Arts/Science,Villanova University,Self Made,New Balance,,
569,Dan Snyder,4.9,58.0,Washington Commanders,United States,Sports,Male,United States,Married,Drop Out,University of Maryland,Self Made,Washington Commanders,,
570,Kjell Inge Rokke,4.9,64.0,"Shipping, seafood",Norway,Logistics,Male,Norway,Married,no data,no data,Self Made,Shipping, seafood,
571,Scott Cook,4.9,71.0,Software,United States,Technology,Male,United States,Married,Master of Business Administration,Harvard Business School,Self Made,Software,,
572,Kelcy Warren,4.9,67.0,Pipelines,United States,Energy,Male,United States,Married,Bachelor of Arts/Science,University of Texas Arlington,Self Made,Pipelines,,
573,Joe Mansueto,4.9,66.0,Investment research,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,University of Chicago,Self Made,Investment research,,
574,Johnelle Hunt,4.9,91.0,Trucking,United States,Logistics,Female,United States,Widowed,Drop Out,University of Central Arkansas,Self Made,Trucking,,
575,George Lucas,4.9,79.0,Star Wars,United States,Media & Entertainment,Male,United States,Married,Bachelor of Arts/Science,University of Southern California,Self Made,Star Wars,,
576,Peter Thiel,4.9,55.0,"Facebook, investments",United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Stanford University,Self Made,Facebook, investments,
577,Chairul Tanjung,4.8,61.0,Diversified,Indonesia,Diversified,Male,Indonesia,Married,Medical Doctor,University of Indonesia,Self Made,Diversified,,
578,Dietmar Hopp,4.8,83.0,Software,Germany,Technology,Male,Germany,Married,Master of Science,University of Karlsruhe,Self Made,Software,,
579,Hansjoerg Wyss,4.8,88.0,Medical devices,Switzerland,Healthcare,Male,Switzerland,Divorced,Master of Business Administration,Harvard University,Self Made,Medical devices,,
580,Alexandra Schoerghuber,4.8,65.0,Real estate ,Germany,Real Estate,Female,Germany,Widowed,no data,no data,no data,Real estate ,,
581,Thai Lee,4.8,64.0,IT provider,United States,Technology,Female,United States,Divorced,Bachelor of Arts/Science,Amherst College,Self Made,IT provider,,
582,Luca Garavoglia,4.8,54.0,Spirits,Italy,Food & Beverage,Male,Italy,no data,Bachelor of Commerce,Bocconi University,no data,Spirits,,
583,Ronald Wanek,4.8,82.0,Furniture,United States,Manufacturing,Male,United States,Married,High School Graduate,High School,Self Made,Furniture,,
584,Mark Meijer,4.8,65.0,Supermarkets,United States,Fashion & Retail,Male,United States,no data,no data,no data,no data,Supermarkets,,
584,Doug Meijer,4.8,69.0,Supermarkets,United States,Fashion & Retail,Male,United States,Divorced,no data,no data,no data,Supermarkets,,
584,Hank Meijer,4.8,71.0,Supermarkets,United States,Fashion & Retail,Male,United States,Married,no data,no data,no data,Supermarkets,,
587,Jimmy Haslam,4.8,69.0,"Gas stations, retail",United States,Fashion & Retail,Male,United States,Married,Bachelor of Arts/Science,University of Tennessee Knoxville,no data,Gas stations, retail,
588,Carlo Fidani,4.8,68.0,Real estate,Canada,Real Estate,Male,Canada,no data,no data,no data,no data,Real estate,,
589,Mark Shoen,4.8,72.0,U-Haul,United States,Automotive,Male,United States,Married,Bachelor of Arts/Science,College of the Holy Cross,no data,U-Haul,,
590,Arturo Moreno,4.8,77.0,"Billboards, Los Angeles Angels",United States,Sports,Male,United States,Married,Bachelor of Arts/Science,University of Arizona,Self Made,Billboards, Los Angeles Angels,
591,Danielle Bellon,4.7,83.0,Food services,France,Service,Female,France,Widowed,no data,no data,no data,Food services,,
592,Rahul Bhatia,4.7,64.0,Aviation,India,Service,Male,India,Married,Master of Science,University of Waterloo,no data,Aviation,,
593,Horst Julius Pudwill,4.7,78.0,Manufacturing ,Germany,Manufacturing,Male,Germany,Married,Master of Science in Engineering,Technical College in Flensburg,Self Made,Manufacturing ,,
594,Gayle Benson,4.7,76.0,New Orleans Saints,United States,Sports,Female,United States,Widowed,High School Graduate,High School,no data,New Orleans Saints,,
595,Lin Li,4.7,60.0,Investments,China,Finance & Investments,Male,China,Married,Bachelor of Arts/Science,Chinese Academy of Social Sciences,Self Made,Investments,,
596,Maximilian Viessmann,4.7,34.0,"Heating, cooling equipment",Germany,Manufacturing,Male,Germany,no data,no data,no data,no data,Heating, cooling equipment,
597,Jim Kavanaugh,4.7,60.0,IT provider,United States,Technology,Male,United States,no data,Bachelor of Arts/Science,St. Louis University,Self Made,IT provider,,
598,Rakesh Gangwal,4.7,70.0,Airline,United States,Service,Male,United States,Married,Bachelor of Science in Engineering,Indian Institute of Technology,Self Made,Airline,,
599,Lin Jianhua,4.7,61.0,Solar panel components,China,Manufacturing,Male,China,Married,no data,no data,Self Made,Solar panel components,,
600,Zhu Yan,4.6,52.0,Real estate,China,Real Estate,Female,China,Widowed,no data,no data,no data,Real estate,,
601,Zhao Yan,4.6,56.0,Biotech,China,Diversified,Female,China,no data,Master of Business Administration,Fordham University,Self Made,Biotech,,
602,Russ Weiner,4.6,53.0,Energy drinks,United States,Food & Beverage,Male,United States,Single,Bachelor of Arts/Science,San Diego State University,Self Made,Energy drinks,,
603,Richard Livingstone,4.6,58.0,Real estate,United Kingdom,Real Estate,Male,United Kingdom,no data,no data,no data,Self Made,Real estate,,
603,Ian Livingstone,4.6,61.0,Real estate,United Kingdom,Real Estate,Male,United Kingdom,no data,no data,no data,Self Made,Real estate,,
605,Jon Stryker,4.6,65.0,Medical equipment,United States,Healthcare,Male,United States,Married,Bachelor of Arts/Science,Kalamazoo College,no data,Medical equipment,,
606,Vladimir Kim,4.6,62.0,Mining,Kazakhstan,Metals & Mining,Male,Kazakhstan,Married,no data,no data,Self Made,Mining,,
607,Herbert Wertheim,4.6,84.0,Investments,United States,Finance & Investments,Male,United States,Married,Associate in Arts/Science,Brevard Community College,Self Made,Investments,,
608,Barry Sternlicht,4.6,62.0,Private equity,United States,Finance & Investments,Male,United States,Divorced,Bachelor of Arts/Science,Brown University,Self Made,Private equity,,
609,Issad Rebrab,4.6,79.0,Food,Algeria,Food & Beverage,Male,Algeria,Married,no data,no data,Self Made,Food,,
610,Timur Kulibaev,4.6,56.0,Banking,Kazakhstan,Finance & Investments,Male,Kazakhstan,Married,Bachelor of Arts/Science,Moscow State University,Self Made,Banking,,
610,Dinara Kulibaeva,4.6,55.0,Banking,Kazakhstan,Finance & Investments,Female,Kazakhstan,Married,Doctorate in Pedagogical Sciences,State Institute of Theatre Arts,no data,Banking,,
612,Yu Yong,4.6,62.0,Mining,China,Finance & Investments,Male,China,Married,no data,no data,Self Made,Mining,,
613,Theo Mueller,4.6,83.0,Dairy,Germany,Food & Beverage,Male,Germany,In Relationship,no data,no data,no data,Dairy,,
614,Jason Chang,4.6,79.0,Electronics,Singapore,Technology,Male,Singapore,Married,Bachelor of Arts/Science,National Taiwan University,Self Made,Electronics,,
615,John Sall,4.6,75.0,Software,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,Beloit College,Self Made,Software,,
616,Ben Chestnut,4.6,49.0,Email marketing,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,Georgia Institute of Technology,Self Made,Email marketing,,
616,Dan Kurzius,4.6,51.0,Email marketing,United States,Technology,Male,United States,Married,High School Graduate,High School,Self Made,Email marketing,,
618,Nick Caporella,4.5,87.0,Beverages,United States,Food & Beverage,Male,United States,Married,no data,no data,Self Made,Beverages,,
619,Gwendolyn Sontheim Meyer,4.5,61.0,Cargill,United States,Food & Beverage,Female,United States,Divorced,no data,no data,no data,Cargill,,
620,Christian Haub,4.5,59.0,Retail,Germany,Fashion & Retail,Male,Germany,Married,no data,no data,no data,Retail,,
621,Miao Hangen,4.5,58.0,"Textiles, petrochemicals",China,Diversified,Male,China,no data,no data,no data,Self Made,Textiles, petrochemicals,
622,Patrick Drahi,4.5,59.0,Telecom,France,Telecom,Male,France,Married,no data,no data,Self Made,Telecom,,
623,Wei Fang,4.5,49.0,Steel,China,Manufacturing,Male,China,Married,no data,no data,Self Made,Steel,,
624,Hussain Sajwani,4.5,70.0,Real estate,United Arab Emirates,Real Estate,Male,United Arab Emirates,Married,Bachelor of Arts/Science,University of Washington,Self Made,Real estate,,
625,Joao Moreira Salles,4.5,61.0,"Banking, minerals",Brazil,Diversified,Male,Brazil,Divorced,no data,no data,no data,Banking, minerals,
625,Walther Moreira Salles Junior,4.5,67.0,"Banking, minerals",Brazil,Finance & Investments,Male,Brazil,Married,Bachelor of Arts/Science,University of Southern California,no data,Banking, minerals,
627,Guenther Fielmann,4.5,83.0,Optometry,Germany,Healthcare,Male,Germany,In Relationship,no data,no data,Self Made,Optometry,,
628,Rajan Mittal,4.5,63.0,Telecom,India,Telecom,Male,India,Married,Bachelor of Arts/Science,Punjab University,no data,Telecom,,
628,Rakesh Mittal,4.5,67.0,Telecom,India,Telecom,Male,India,Married,Bachelor of Arts/Science,Punjab University,no data,Telecom,,
630,Joseph Liemandt,4.5,55.0,Software,United States,Technology,Male,United States,Single,Drop Out,Stanford University,Self Made,Software,,
631,Margot Birmingham Perot,4.5,89.0,"Computer services, real estate",United States,Technology,Female,United States,Widowed,Bachelor of Arts/Science,Goucher College,no data,Computer services, real estate,
632,Mikhail Shelkov,4.4,55.0,Titanium,Russia,Metals & Mining,Male,Russia,no data,Master of Science,Moscow Institute of Physics and Technology,Self Made,Titanium,,
633,Mikhail Lomtadze,4.4,47.0,Fintech,Georgia,Finance & Investments,Male,Georgia,Single,Master of Business Administration,Harvard Business School,Self Made,Fintech,,
634,Jeffrey Lurie,4.4,71.0,Philadelphia Eagles,United States,Sports,Male,United States,Married,Doctorate,Brandeis University,no data,Philadelphia Eagles,,
635,Neal Blue,4.4,88.0,Defense,United States,Manufacturing,Male,United States,Widowed,Bachelor of Arts/Science,Yale University,Self Made,Defense,,
636,Peter Grogg,4.4,81.0,Biochemicals,Switzerland,Healthcare,Male,Switzerland,no data,no data,no data,Self Made,Biochemicals,,
637,Zhang Daocai,4.4,73.0,Valves,China,Diversified,Male,China,no data,no data,no data,Self Made,Valves,,
638,Daniel Tsai,4.4,67.0,Finance,Taiwan,Finance & Investments,Male,Taiwan,Married,LLM,Georgetown University,no data,Finance,,
639,Richard Li,4.4,56.0,Telecom,Hong Kong,Telecom,Male,Hong Kong,Single,Drop Out,Stanford University,no data,Telecom,,
640,Shari Arison,4.4,65.0,Carnival Cruises,Israel,Service,Female,Israel,Divorced,Drop Out,Miami Dade College,no data,Carnival Cruises,,
641,Peter Gilgan,4.4,72.0,Homebuilding,Canada,Construction & Engineering,Male,Canada,Married,no data,no data,Self Made,Homebuilding,,
642,Daryl Katz,4.4,61.0,Pharmacies,Canada,Diversified,Male,Canada,Married,Bachelor of Arts/Science,University of Alberta,Self Made,Pharmacies,,
643,Lin Bin,4.4,55.0,Smartphones,United States,Technology,Male,United States,no data,Master,Drexel University,Self Made,Smartphones,,
644,Kerry Stokes,4.4,82.0,"Construction equipment, media",Australia,Diversified,Male,Australia,Married,no data,no data,Self Made,Construction equipment, media,
645,Jay Paul,4.4,76.0,Real estate,United States,Real Estate,Male,United States,Married,Bachelor of Arts/Science,Boston University,Self Made,Real estate,,
646,Charles Dolan,4.4,96.0,Cable television,United States,Media & Entertainment,Male,United States,Married,Drop Out,John Carroll University,Self Made,Cable television,,
647,Vyacheslav Kim,4.4,54.0,Fintech ,Kazakhstan,Finance & Investments,Male,Kazakhstan,Single,no data,no data,Self Made,Fintech ,,
648,Emanuele (Lino) Saputo,4.4,86.0,Cheese,Canada,Food & Beverage,Male,Canada,Married,Diploma,High School,no data,Cheese,,
649,Kim Beom-su,4.4,57.0,Online services,South Korea,Technology,Male,South Korea,Married,Bachelor of Science in Engineering,Seoul National University,Self Made,Online services,,
650,Djoko Susanto,4.4,73.0,Supermarkets,Indonesia,Fashion & Retail,Male,Indonesia,Married,no data,no data,Self Made,Supermarkets,,
651,Ronald Lauder,4.4,79.0,Estee Lauder,United States,Fashion & Retail,Male,United States,Married,Bachelor of Arts/Science,The Wharton School,no data,Estee Lauder,,
652,Richard Tsai,4.3,66.0,Finance,Taiwan,Finance & Investments,Male,Taiwan,Married,Master of Business Administration,Leonard N. Stern School of Business,no data,Finance,,
653,Li Gaiteng,4.3,51.0,Hair dryers,China,Manufacturing,Male,China,Married,no data,no data,Self Made,Hair dryers,,
654,Juan Carlos Escotet,4.3,64.0,Banking,Venezuela,Finance & Investments,Male,Venezuela,Married,Master,University of Miami,Self Made,Banking,,
655,Jose E. Feliciano,4.3,50.0,Private equity,United States,Finance & Investments,Male,United States,Married,Bachelor of Engineering,Princeton University,Self Made,Private equity,,
656,Andrei Kozitsyn,4.3,63.0,Metals,Russia,Metals & Mining,Male,Russia,Married,Master of Science in Engineering,Ural Polytechnic Institute,Self Made,Metals,,
657,Jean (Gigi) Pritzker,4.3,61.0,"Hotels, investments",United States,Service,Female,United States,Married,Bachelor of Arts/Science,Stanford University,no data,Hotels, investments,
658,Min Kao,4.3,74.0,Navigation equipment,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,National Taiwan University,Self Made,Navigation equipment,,
659,Frank Wang,4.3,42.0,Drones,China,Technology,Male,China,Married,Bachelor of Arts/Science,Hong Kong University of Science and Technology,Self Made,Drones,,
660,Ibrahim Erdemoglu,4.3,60.0,Carpet,Turkey,Manufacturing,Male,Turkey,Married,no data,no data,Self Made,Carpet,,
661,You Xiaoping,4.3,65.0,"Chemicals, spandex",China,Manufacturing,Male,China,Married,no data,no data,Self Made,Chemicals, spandex,
662,Jerzy Starak,4.3,75.0,Pharmaceuticals,Poland,Healthcare,Male,Poland,Married,no data,no data,Self Made,Pharmaceuticals,,
663,N.R. Narayana Murthy,4.3,76.0,Software services,India,Technology,Male,India,Married,Master of Science,Indian Institute of Technology,Self Made,Software services,,
664,Behdad Eghbali,4.3,47.0,Private equity,United States,Finance & Investments,Male,United States,Married,Bachelor of Business Administration,University of California,Self Made,Private equity,,
665,Yang Huiyan,4.3,41.0,Real estate,China,Real Estate,Female,China,Married,Bachelor of Arts/Science,Ohio State University,no data,Real estate,,
666,Marc Ladreit de Lacharriere,4.3,82.0,Finance,France,Finance & Investments,Male,France,Divorced,no data,no data,Self Made,Finance,,
667,Pyotr Aven,4.2,68.0,"Oil, banking, telecom",Russia,Finance & Investments,Male,Russia,Married,Ph.D,Moscow State University,Self Made,Oil, banking, telecom
668,Lynsi Snyder,4.2,41.0,In-N-Out Burger,United States,Food & Beverage,Female,United States,Married,no data,no data,no data,In-N-Out Burger,,
669,Eric Lefkofsky,4.2,53.0,"Groupon, investments",United States,Technology,Male,United States,Married,Bachelor of Arts/Science,University of Michigan,Self Made,Groupon, investments,
670,Chan Laiwa,4.2,82.0,Real estate,China,Real Estate,Female,China,Married,Doctorate,Savannah College of Art and Design,Self Made,Real estate,,
671,Yitzhak Tshuva,4.2,75.0,Real estate,Israel,Real Estate,Male,Israel,Married,no data,no data,Self Made,Real estate,,
672,W. Herbert Hunt,4.2,94.0,Oil,United States,Energy,Male,United States,Married,Bachelor of Arts/Science,Washington & Lee University,no data,Oil,,
673,Jiang Weiping,4.2,68.0,Chemicals,China,Manufacturing,Male,China,Married,Bachelor of Science in Engineering,Xihua University,Self Made,Chemicals,,
674,Jeremy Jacobs Sr,4.2,83.0,Food service,United States,Service,Male,United States,Married,Bachelor of Arts/Science,SUNY Buffalo,no data,Food service,,
675,Chen Hua,4.2,57.0,Real estate,China,Real Estate,Male,China,Married,no data,no data,Self Made,Real estate,,
676,Rupert Johnson Jr,4.2,83.0,Franklin Templeton,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Washington & Lee University,no data,Franklin Templeton,,
677,Yu Renrong,4.2,57.0,Semiconductors,China,Manufacturing,Male,China,no data,Bachelor of Science in Engineering,Tsinghua University,Self Made,Semiconductors,,
678,Giuseppe Crippa,4.2,88.0,Microchip testing,Italy,Manufacturing,Male,Italy,Married,no data,no data,Self Made,Microchip testing,,
679,Jim Davis,4.2,63.0,Staffing & recruiting,United States,Service,Male,United States,Married,Bachelor of Arts/Science,Middlebury College,Self Made,Staffing & recruiting,,
679,Jim Davis,4.2,63.0,Staffing & recruiting,United States,Service,Male,United States,Married,Bachelor of Arts/Science,Villanova University,Self Made,Staffing & recruiting,,
680,Pedro Moreira Salles,4.2,63.0,"Banking, minerals",Brazil,Diversified,Male,Brazil,Married,Bachelor of Arts/Science,University of California,no data,Banking, minerals,
680,Fernando Roberto Moreira Salles,4.2,77.0,"Banking, minerals",Brazil,Diversified,Male,Brazil,Married,Bachelor of Arts/Science,Fundacao Getulio Vargas,no data,Banking, minerals,
682,Gao Dekang,4.2,71.0,Apparel,China,Fashion & Retail,Male,China,Married,EMBA,Phoenix International University,Self Made,Apparel,,
683,Sanjiv Bajaj,4.2,53.0,Diversified,India,Diversified,Male,India,Married,Master of Business Administration,Harvard Business School,no data,Diversified,,
683,Rajiv Bajaj,4.2,56.0,Diversified,India,Diversified,Male,India,Married,Bachelor of Engineering,Pune University,no data,Diversified,,
685,Gail Miller,4.2,79.0,Car dealerships,United States,Automotive,Female,United States,"Widowed, Remarried",Drop Out,University of Utah,Self Made,Car dealerships,,
686,Vinod Rai Gupta,4.1,77.0,Electrical equipment,India,Manufacturing,Female,India,no data,no data,no data,no data,Electrical equipment,,
687,Peter Spuhler,4.1,63.0,Train cars,Switzerland,Manufacturing,Male,Switzerland,Married,no data,no data,Self Made,Train cars,,
688,Igor Kesaev,4.1,56.0,"Tobacco distribution, retail",Russia,Fashion & Retail,Male,Russia,Married,Master,Moscow Institute of International Relations,Self Made,Tobacco distribution, retail,
689,Ugur Sahin,4.1,57.0,Biotechnology,Germany,Healthcare,Male,Germany,Married,no data,no data,Self Made,Biotechnology,,
690,Samuel Yin,4.1,72.0,Retail,Taiwan,Diversified,Male,Taiwan,Married,Bachelor of Arts/Science,Chinese Culture University,no data,Retail,,
691,Mong-Koo Chung,4.1,85.0,Hyundai,South Korea,Automotive,Male,South Korea,Married,Bachelor of Arts/Science,Hanyang University,no data,Hyundai,,
692,Reed Hastings,4.1,62.0,Netflix,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,Bowdoin College,Self Made,Netflix,,
693,Jeff Skoll,4.1,58.0,EBay,United States,Technology,Male,United States,Single,Master of Business Administration,Stanford Graduate School of Business,Self Made,EBay,,
694,Lim Hariyanto Wijaya Sarwono,4.1,94.0,"Palm oil, nickel mining",Indonesia,Metals & Mining,Male,Indonesia,Married,no data,no data,Self Made,Palm oil, nickel mining,
695,Austen Cargill II,4.1,72.0,Cargill,United States,Food & Beverage,Male,United States,Divorced,Doctorate,Oregon State University,no data,Cargill,,
695,Marianne Liebmann,4.1,70.0,Cargill,United States,Food & Beverage,Female,United States,Married,Bachelor of Arts/Science,Montana State University,no data,Cargill,,
695,James Cargill II,4.1,74.0,Cargill,United States,Food & Beverage,Male,United States,Married,no data,no data,no data,Cargill,,
698,Jeff T. Green,4.1,46.0,Digital advertising ,United States,Media & Entertainment,Male,United States,no data,Bachelor of Arts/Science,University of Southern California,Self Made,Digital advertising ,,
699,Ken Xie,4.1,60.0,Cybersecurity,United States,Technology,Male,United States,Married,Master of Science,Stanford University,Self Made,Cybersecurity,,
700,Donald Sterling,4.1,89.0,Real estate,United States,Real Estate,Male,United States,Married,Bachelor of Arts/Science,California State Los Angeles,Self Made,Real estate,,
701,Li Chunan,4.1,54.0,Renewable energy,China,Manufacturing,Male,China,no data,no data,no data,Self Made,Renewable energy,,
702,John Catsimatidis,4.1,74.0,"Oil, real estate",United States,Energy,Male,United States,Married,Drop Out,New York University,Self Made,Oil, real estate,
703,Peter Gassner,4.1,58.0,Software,United States,Technology,Male,United States,Married,Bachelor of Science,Oregon State University,Self Made,Software,,
704,Tim Sweeney,4.1,52.0,Video games,United States,Media & Entertainment,Male,United States,no data,Bachelor of Arts/Science,College Park,Self Made,Video games,,
705,E. Joe Shoen,4.1,73.0,U-Haul,United States,Automotive,Male,United States,Married,Bachelor of Arts/Science,College of the Holy Cross,no data,U-Haul,,
706,Travis Kalanick,4.0,47.0,Uber ,United States,Technology,Male,United States,Single,Drop Out,University of California,Self Made,Uber ,,
707,Fan Hongwei,4.0,56.0,Petrochemicals,China,Energy,Female,China,Married,no data,no data,Self Made,Petrochemicals,,
708,Jack Dorsey,4.0,46.0,"Twitter, Square",United States,Technology,Male,United States,Single,Drop Out,New York University,Self Made,Twitter, Square,
709,Chandru Raheja,4.0,82.0,Real estate,India,Real Estate,Male,India,Married,LLB,University of Mumbai,no data,Real estate,,
710,Tse Ping,4.0,71.0,Pharmaceuticals,China,Healthcare,Male,China,Married,no data,no data,Self Made,Pharmaceuticals,,
711,Leonid Boguslavsky,4.0,72.0,Venture capital,Canada,Finance & Investments,Male,Canada,Married,Master of Science,Moscow Institute for Transport Engineering,Self Made,Venture capital,,
712,Yasumitsu Shigeta,4.0,58.0,mobile phone retailer,Japan,Telecom,Male,Japan,Married,Drop Out,Nihon University,Self Made,mobile phone retailer,,
713,Jason Jiang,4.0,50.0,Advertising,China,Media & Entertainment,Male,China,Married,Bachelor of Arts/Science,Huadong Normal University,Self Made,Advertising,,
714,Sudhir Mehta,4.0,69.0,"Pharmaceuticals, power",India,Healthcare,Male,India,Married,no data,no data,no data,Pharmaceuticals, power,
715,Samir Mehta,4.0,59.0,"Pharmaceuticals, power",India,Healthcare,Male,India,Married,no data,no data,no data,Pharmaceuticals, power,
716,Alessandra Garavoglia,4.0,63.0,Spirits,Italy,Food & Beverage,Female,Italy,no data,Bachelor of Social Sciences,University of Milan,no data,Spirits,,
717,Tom Morris,4.0,68.0,Retail,United Kingdom,Fashion & Retail,Male,United Kingdom,Married,no data,no data,Self Made,Retail,,
718,Francesco Gaetano Caltagirone,4.0,80.0,"Cement, diversified",Italy,Construction & Engineering,Male,Italy,Married,no data,no data,Self Made,Cement, diversified,
719,Vivek Chaand Sehgal,4.0,66.0,Auto parts,Australia,Automotive,Male,Australia,Married,Bachelor of Arts/Science,Delhi University,Self Made,Auto parts,,
720,Steven Spielberg,4.0,76.0,Movies,United States,Media & Entertainment,Male,United States,Married,Bachelor of Arts/Science,California State Long Beach,Self Made,Movies,,
721,Marian Ilitch,4.0,90.0,Little Caesars Pizza,United States,Food & Beverage,Female,United States,Widowed,Diploma,High School,Self Made,Little Caesars Pizza,,
722,Dewi Kam,4.0,73.0,Coal,Indonesia,Energy,Female,Indonesia,Married,no data,no data,Self Made,Coal,,
723,Shaul Shani,4.0,68.0,Telecom,Israel,Telecom,Male,Israel,no data,no data,no data,Self Made,Telecom,,
