rank,name,net__worth,age,source,country,industry,sex,citizenship,marital _status,education,college/_university,empire,source_1,source_2,source_3
38,Ma Huateng,35.4,51.0,Internet media,China,Technology,Male,China,Married,Bachelor of Arts/Science,Shenzhen University,Self Made,Internet media,,
39,Miriam Adelson,34.7,77.0,Casinos,United States,Gambling & Casinos,Female,United States,Widowed,Bachelor of Science,Hebrew University Jerusalem,no data,Casinos,,
40,Ken Griffin,33.8,54.0,Hedge funds,United States,Finance & Investments,Male,United States,Divorced,Bachelor of Arts/Science,Harvard University,Self Made,Hedge funds,,
41,Len Blavatnik,33.6,66.0,"Music, chemicals",United States,Diversified,Male,United States,Married,Master of Science,Columbia University,Self Made,Music, chemicals,
42,Robin Zeng,32.9,54.0,Batteries,Hong Kong,Automotive,Male,Hong Kong,no data,Doctorate,Chinese Academy of Social Sciences,Self Made,Batteries,,
43,William Lei Ding,32.7,51.0,Online games,China,Technology,Male,China,no data,Bachelor of Arts/Science,University of Electronic Science and Technology of China,Self Made,Online games,,
44,Alain Wertheimer,32.5,74.0,Chanel,France,Fashion & Retail,Male,France,Married,no data,no data,no data,Chanel,,
44,Gerard Wertheimer,32.5,72.0,Chanel,France,Fashion & Retail,Male,France,Married,no data,no data,no data,Chanel,,
46,Cyrus Poonawalla,32.4,82.0,Vaccines,India,Healthcare,Male,India,Widowed,Bachelor of Arts/Science,Pune University,no data,Vaccines,,
47,Stephen Schwarzman,30.8,76.0,Investments,United States,Finance & Investments,Male,United States,Married,Master of Business Administration,Harvard Business School,Self Made,Investments,,
48,Rafaela Aponte-Diamant,30.0,78.0,Shipping,Switzerland,Logistics,Female,Switzerland,Married,no data,no data,Self Made,Shipping,,
48,Gianluigi Aponte,30.0,83.0,Shipping,Switzerland,Logistics,Male,Switzerland,Married,no data,no data,Self Made,Shipping,,
50,Reinhold Wuerth,29.3,88.0,Fasteners,Germany,Manufacturing,Male,Germany,Married,no data,no data,Self Made,Fasteners,,
51,Jeff Yass,28.9,65.0,"Trading, investments",United States,Finance & Investments,Male,United States,Married,Bachelor of Science,SUNY Binghamton,Self Made,Trading, investments,
52,Thomas Peterffy,28.3,78.0,Discount brokerage,United States,Finance & Investments,Male,United States,Divorced,Drop Out,New York University,Self Made,Discount brokerage,,
53,Jim Simons,28.1,85.0,Hedge funds,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Massachusetts Institute of Technology,Self Made,Hedge funds,,
54,GermÃ¡n Larrea Mota Velasco,27.9,69.0,Mining,Mexico,Metals & Mining,Male,Mexico,Married,no data,no data,no data,Mining,,
55,Colin Zheng Huang,27.9,43.0,E-commerce,China,Technology,Male,China,no data,Master,University of Wisconsin Madison,Self Made,E-commerce,,
56,Lee Shau Kee,27.0,95.0,Real estate,Hong Kong,Real Estate,Male,Hong Kong,Divorced,no data,no data,Self Made,Real estate,,
57,Gina Rinehart,26.4,69.0,Mining,Australia,Metals & Mining,Female,Australia,Widowed,no data,no data,no data,Mining,,
58,Shiv Nadar,26.4,78.0,Software services,India,Technology,Male,India,Married,Bachelor of Arts/Science,PSG College of Technology,Self Made,Software services,,
59,R. Budi Hartono,26.0,82.0,"Banking, tobacco",Indonesia,Finance & Investments,Male,Indonesia,Married,no data,no data,no data,Banking, tobacco,
60,Stefan Quandt,25.1,57.0,BMW,Germany,Automotive,Male,Germany,Married,Associate in Arts/Science,Technical University of Karlsruhe,no data,BMW,,
61,Michael Hartono,24.9,83.0,"Banking, tobacco ",Indonesia,Manufacturing,Male,Indonesia,Married,no data,no data,no data,Banking, tobacco ,
62,Masayoshi Son,24.8,66.0,"telecom, investments",Japan,Finance & Investments,Male,Japan,Married,Bachelor of Arts/Science,University of California,Self Made,telecom, investments,
63,Low Tuck Kwong,24.5,75.0,Coal,Indonesia,Energy,Male,Indonesia,Married,no data,no data,Self Made,Coal,,
64,Andrey Melnichenko,24.5,51.0,"Fertilizers, coal",Russia,Metals & Mining,Male,Russia,Married,Master of Science,Plekhanov Russian University of Economics,Self Made,Fertilizers, coal,
